"Status","Year","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","Declared non-disabled","Crown Commercial Service","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","175","[c]","30110","22180"
"New entrant CS","2023","Declared non-disabled","Crown Prosecution Service","560","[c]","29640","24480"
"New entrant CS","2023","Declared non-disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Defence Equipment and Support","525","[c]","33850","32500"
"New entrant CS","2023","Declared non-disabled","Defence Science and Technology Laboratory","35","[c]","33990","30650"
"New entrant CS","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","220","[c]","36980","34410"
"New entrant CS","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","80","[c]","34560","35040"
"New entrant CS","2023","Declared non-disabled","Department for Education (excl. agencies)","60","[c]","41440","37590"
"New entrant CS","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","590","[c]","40380","37300"
"New entrant CS","2023","Declared non-disabled","Department for International Trade","345","[c]","40550","37900"
"New entrant CS","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","145","[c]","37380","33880"
"New entrant CS","2023","Declared non-disabled","Department for Transport (excl. agencies)","170","[c]","38400","35400"
"New entrant CS","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","2320","[c]","28390","25610"
"New entrant CS","2023","Declared non-disabled","Department of Health and Social Care (excl. agencies)","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Disclosure Scotland","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Driver and Vehicle Licensing Agency","455","[c]","23150","22500"
"New entrant CS","2023","Declared non-disabled","Driver and Vehicle Standards Agency","210","[c]","27490","26960"
"New entrant CS","2023","Declared non-disabled","Education Scotland","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Estyn","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Food Standards Agency","55","[c]","34110","31260"
"New entrant CS","2023","Declared non-disabled","Food Standards Scotland","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Government Actuary's Department","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Government Commercial Organisation","75","[c]","81440","70930"
"New entrant CS","2023","Declared non-disabled","Government Internal Audit Agency","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Government Legal Department","270","[c]","40600","44580"
"New entrant CS","2023","Declared non-disabled","Government Property Agency","55","[c]","48090","41460"
"New entrant CS","2023","Declared non-disabled","HM Courts and Tribunals Service","875","[c]","23660","21780"
"New entrant CS","2023","Declared non-disabled","HM Land Registry","55","[c]","28720","23390"
"New entrant CS","2023","Declared non-disabled","HM Prison and Probation Service","6650","[c]","26430","24330"
"New entrant CS","2023","Declared non-disabled","HM Revenue and Customs (excl. agencies)","2560","[c]","29080","22520"
"New entrant CS","2023","Declared non-disabled","HM Treasury (excl. agencies)","140","[c]","30940","28500"
"New entrant CS","2023","Declared non-disabled","Health and Safety Executive","230","[c]","34000","27320"
"New entrant CS","2023","Declared non-disabled","Home Office","120","[c]","27110","25750"
"New entrant CS","2023","Declared non-disabled","Institute for Apprenticeships and Technical Education","35","[c]","39500","37710"
"New entrant CS","2023","Declared non-disabled","Intellectual Property Office","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Legal Aid Agency","35","[c]","22290","21780"
"New entrant CS","2023","Declared non-disabled","Maritime and Coastguard Agency","30","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","35","[c]","48320","41190"
"New entrant CS","2023","Declared non-disabled","Met Office","235","[c]","30150","26650"
"New entrant CS","2023","Declared non-disabled","Ministry of Defence (excl. agencies)","310","[c]","31860","27500"
"New entrant CS","2023","Declared non-disabled","Ministry of Justice (excl. agencies)","405","[c]","37160","35410"
"New entrant CS","2023","Declared non-disabled","National Crime Agency","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","National Infrastructure Commission","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","National Records of Scotland","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","National Savings and Investments","30","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","405","[c]","51440","47750"
"New entrant CS","2023","Declared non-disabled","Office of Gas and Electricity Markets","390","[c]","40070","35000"
"New entrant CS","2023","Declared non-disabled","Office of Qualifications and Examinations Regulation","70","[c]","37750","33500"
"New entrant CS","2023","Declared non-disabled","Office of Rail and Road","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Office of the Public Guardian","120","[c]","22740","21780"
"New entrant CS","2023","Declared non-disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Planning Inspectorate","100","[c]","40670","41840"
"New entrant CS","2023","Declared non-disabled","Queen Elizabeth II Centre","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Registers of Scotland","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Revenue Scotland","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Rural Payments Agency","260","[c]","23180","22150"
"New entrant CS","2023","Declared non-disabled","Scottish Courts and Tribunals Service","200","[c]","27010","23190"
"New entrant CS","2023","Declared non-disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Scottish Government (excl. agencies)","195","[c]","41800","41640"
"New entrant CS","2023","Declared non-disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Scottish Public Pensions Agency","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Serious Fraud Office","45","[c]","40600","32150"
"New entrant CS","2023","Declared non-disabled","Social Security Scotland","460","[c]","30470","29100"
"New entrant CS","2023","Declared non-disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Student Awards Agency for Scotland","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Submarine Delivery Agency","95","[c]","36770","33000"
"New entrant CS","2023","Declared non-disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","The Insolvency Service","25","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","The National Archives","50","[c]","34280","30800"
"New entrant CS","2023","Declared non-disabled","Transport Scotland","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","UK Debt Management Office","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","UK Export Finance","80","[c]","49040","42000"
"New entrant CS","2023","Declared non-disabled","UK Health Security Agency","50","[c]","43900","37420"
"New entrant CS","2023","Declared non-disabled","UK Hydrographic Office","60","[c]","31540","27610"
"New entrant CS","2023","Declared non-disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","UK Statistics Authority","555","[c]","30260","25000"
"New entrant CS","2023","Declared non-disabled","UK Supreme Court","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Valuation Office Agency","180","[c]","25680","22520"
"New entrant CS","2023","Declared non-disabled","Vehicle Certification Agency","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Veterinary Medicines Directorate","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Water Services Regulation Authority","45","[c]","51430","48000"
"New entrant CS","2023","Declared non-disabled","Welsh Government (excl. agencies)","225","[c]","35270","32460"
"New entrant CS","2023","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Wilton Park","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Active Travel England","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Animal and Plant Health Agency","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Building Digital UK","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Cabinet Office (excl. agencies)","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Central Civil Service Fast Stream","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Companies House","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Crown Prosecution Service","30","[c]","31970","26900"
"New entrant CS","2023","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Defence Equipment and Support","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Department for Digital, Culture, Media and Sport (excl. agencies)","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Department for Education (excl. agencies)","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","30","[c]","41650","37300"
"New entrant CS","2023","Undeclared","Department for International Trade","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Department for Transport (excl. agencies)","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Department for Work and Pensions (excl. agencies)","100","[c]","26860","21690"
"New entrant CS","2023","Undeclared","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Driver and Vehicle Licensing Agency","35","[c]","23290","22500"
"New entrant CS","2023","Undeclared","Driver and Vehicle Standards Agency","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Government Commercial Organisation","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Government Internal Audit Agency","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Government Legal Department","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Government Property Agency","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","HM Courts and Tribunals Service","60","[c]","24110","21780"
"New entrant CS","2023","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","HM Prison and Probation Service","275","[c]","25420","23640"
"New entrant CS","2023","Undeclared","HM Revenue and Customs (excl. agencies)","110","[c]","28460","22520"
"New entrant CS","2023","Undeclared","HM Treasury (excl. agencies)","45","[c]","27780","24820"
"New entrant CS","2023","Undeclared","Health and Safety Executive","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Maritime and Coastguard Agency","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Ministry of Defence (excl. agencies)","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Ministry of Justice (excl. agencies)","20","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Office of Rail and Road","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Office of the Public Guardian","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Planning Inspectorate","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Rural Payments Agency","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Scottish Government (excl. agencies)","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Social Security Scotland","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","UK Export Finance","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","UK Health Security Agency","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","UK Statistics Authority","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Valuation Office Agency","5","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Vehicle Certification Agency","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Accountant in Bankruptcy","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Active Travel England","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Advisory, Conciliation and Arbitration Service","30","[c]","26580","25160"
"New entrant CS","2023","Unknown","Animal and Plant Health Agency","110","[c]","25350","22150"
"New entrant CS","2023","Unknown","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Building Digital UK","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Cabinet Office (excl. agencies)","145","[c]","41460","28050"
"New entrant CS","2023","Unknown","Central Civil Service Fast Stream","370","[c]","28850","28840"
"New entrant CS","2023","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Charity Commission","35","[c]","30520","30170"
"New entrant CS","2023","Unknown","Companies House","65","[c]","31120","21750"
"New entrant CS","2023","Unknown","Competition and Markets Authority","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Criminal Injuries Compensation Authority","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Crown Commercial Service","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Crown Office and Procurator Fiscal Service","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Crown Prosecution Service","175","[c]","29910","24430"
"New entrant CS","2023","Unknown","Defence Equipment and Support","680","[c]","31330","28600"
"New entrant CS","2023","Unknown","Defence Science and Technology Laboratory","710","[c]","32090","28360"
"New entrant CS","2023","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","[c]","35960","33770"
"New entrant CS","2023","Unknown","Department for Digital, Culture, Media and Sport (excl. agencies)","40","[c]","35240","35040"
"New entrant CS","2023","Unknown","Department for Education (excl. agencies)","300","[c]","34670","30330"
"New entrant CS","2023","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","200","[c]","40070","37300"
"New entrant CS","2023","Unknown","Department for International Trade","375","[c]","38840","35010"
"New entrant CS","2023","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","60","[c]","33460","30790"
"New entrant CS","2023","Unknown","Department for Transport (excl. agencies)","115","[c]","36830","35400"
"New entrant CS","2023","Unknown","Department for Work and Pensions (excl. agencies)","510","[c]","28330","21690"
"New entrant CS","2023","Unknown","Department of Health and Social Care (excl. agencies)","255","[c]","35980","34190"
"New entrant CS","2023","Unknown","Disclosure Scotland","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Driver and Vehicle Licensing Agency","125","[c]","22100","22500"
"New entrant CS","2023","Unknown","Driver and Vehicle Standards Agency","345","[c]","26590","26780"
"New entrant CS","2023","Unknown","Education Scotland","35","[c]","44670","41640"
"New entrant CS","2023","Unknown","Education and Skills Funding Agency","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Food Standards Agency","100","[c]","31480","30960"
"New entrant CS","2023","Unknown","Food Standards Scotland","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Government Commercial Organisation","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Government Internal Audit Agency","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Government Legal Department","20","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Government Property Agency","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","HM Courts and Tribunals Service","605","[c]","23860","21780"
"New entrant CS","2023","Unknown","HM Land Registry","285","[c]","28670","23390"
"New entrant CS","2023","Unknown","HM Prison and Probation Service","3840","[c]","26510","26760"
"New entrant CS","2023","Unknown","HM Revenue and Customs (excl. agencies)","1860","[c]","26630","22520"
"New entrant CS","2023","Unknown","HM Treasury (excl. agencies)","60","[c]","30870","28160"
"New entrant CS","2023","Unknown","Health and Safety Executive","45","[c]","33340","31660"
"New entrant CS","2023","Unknown","Home Office","7490","[c]","26310","25750"
"New entrant CS","2023","Unknown","Institute for Apprenticeships and Technical Education","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Intellectual Property Office","55","[c]","41550","40140"
"New entrant CS","2023","Unknown","Legal Aid Agency","35","[c]","22040","21780"
"New entrant CS","2023","Unknown","Maritime and Coastguard Agency","145","[c]","29320","22500"
"New entrant CS","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","175","[c]","40580","33500"
"New entrant CS","2023","Unknown","Ministry of Defence (excl. agencies)","3005","[c]","31250","27140"
"New entrant CS","2023","Unknown","Ministry of Justice (excl. agencies)","305","[c]","35610","31270"
"New entrant CS","2023","Unknown","National Crime Agency","480","[c]","37970","36040"
"New entrant CS","2023","Unknown","National Records of Scotland","65","[c]","33020","29100"
"New entrant CS","2023","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Office for Standards in Education, Children's Services and Skills","20","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Office of Gas and Electricity Markets","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Office of the Public Guardian","175","[c]","22480","21780"
"New entrant CS","2023","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Planning Inspectorate","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Registers of Scotland","40","[c]","30460","24010"
"New entrant CS","2023","Unknown","Revenue Scotland","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Royal Fleet Auxiliary","150","[c]","22470","17530"
"New entrant CS","2023","Unknown","Rural Payments Agency","80","[c]","23670","22150"
"New entrant CS","2023","Unknown","Scottish Courts and Tribunals Service","20","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Scottish Government (excl. agencies)","645","[c]","38920","33520"
"New entrant CS","2023","Unknown","Scottish Prison Service","405","[c]","27280","24710"
"New entrant CS","2023","Unknown","Scottish Public Pensions Agency","65","[c]","27460","25710"
"New entrant CS","2023","Unknown","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Social Security Scotland","1215","[c]","27500","25710"
"New entrant CS","2023","Unknown","Standards and Testing Agency","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Student Awards Agency for Scotland","60","[c]","24740","22180"
"New entrant CS","2023","Unknown","Submarine Delivery Agency","145","[c]","31440","27540"
"New entrant CS","2023","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","The Insolvency Service","40","[c]","26770","22180"
"New entrant CS","2023","Unknown","The National Archives","50","[c]","29180","24990"
"New entrant CS","2023","Unknown","Transport Scotland","40","[c]","36420","33520"
"New entrant CS","2023","Unknown","UK Debt Management Office","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","UK Health Security Agency","885","[c]","41510","37030"
"New entrant CS","2023","Unknown","UK Hydrographic Office","45","[c]","29600","27610"
"New entrant CS","2023","Unknown","UK Space Agency","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","UK Statistics Authority","410","[c]","28250","24840"
"New entrant CS","2023","Unknown","UK Supreme Court","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Valuation Office Agency","170","[c]","25470","22520"
"New entrant CS","2023","Unknown","Welsh Government (excl. agencies)","65","[c]","29400","22150"
"New entrant CS","2023","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Organisation","Executive Agencies, Ministerial and Non-Ministerial Departments, Crown Non-departmental Public Bodies.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
