"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","AA/AO","AO","Female","75","[c]","23490","23390"
"Leaver CS","2023","HM Land Registry","AA/AO","AO","Male","45","[c]","23540","23390"
"Leaver CS","2023","HM Land Registry","EO","EO","Female","85","[c]","28400","28080"
"Leaver CS","2023","HM Land Registry","EO","EO","Male","60","[c]","29800","28080"
"Leaver CS","2023","HM Land Registry","G6/G7","G6","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","G6/G7","G7","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","G6/G7","G7","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","HM Land Registry","SEO/HEO","HEO","Female","50","[c]","35060","34850"
"Leaver CS","2023","HM Land Registry","SEO/HEO","HEO","Male","50","[c]","36720","34850"
"Leaver CS","2023","HM Land Registry","SEO/HEO","SEO","Female","35","[c]","43070","41680"
"Leaver CS","2023","HM Land Registry","SEO/HEO","SEO","Male","50","[c]","44100","43150"
"Leaver CS","2023","HM Revenue and Customs","AA/AO","AA","Female","50","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","AA/AO","AA","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","AA/AO","AO","Female","1260","[c]","22560","22520"
"Leaver CS","2023","HM Revenue and Customs","AA/AO","AO","Male","890","[c]","22650","22520"
"Leaver CS","2023","HM Revenue and Customs","EO","EO","Female","475","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","EO","EO","Male","425","[c]","27770","27000"
"Leaver CS","2023","HM Revenue and Customs","G6/G7","G6","Female","50","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","G6/G7","G6","Male","70","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","G6/G7","G7","Female","110","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","G6/G7","G7","Male","165","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","SCS level","SCS level","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","SCS level","SCS level","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","SEO/HEO","HEO","Female","280","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","SEO/HEO","HEO","Male","360","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","SEO/HEO","SEO","Female","170","[c]","[c]","[c]"
"Leaver CS","2023","HM Revenue and Customs","SEO/HEO","SEO","Male","230","[c]","46920","46800"
"Leaver CS","2023","HM Treasury","AA/AO","AO","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury","AA/AO","AO","Male","30","[c]","22670","22750"
"Leaver CS","2023","HM Treasury","EO","EO","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury","EO","EO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury","G6/G7","G6","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury","G6/G7","G7","Female","40","[c]","54490","54090"
"Leaver CS","2023","HM Treasury","G6/G7","G7","Male","55","[c]","54220","54090"
"Leaver CS","2023","HM Treasury","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury","SEO/HEO","HEO","Female","35","[c]","34920","33630"
"Leaver CS","2023","HM Treasury","SEO/HEO","HEO","Male","50","[c]","33730","33420"
"Leaver CS","2023","HM Treasury","SEO/HEO","SEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury","SEO/HEO","SEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Home Office","AA/AO","AA","Female","60","[c]","21750","22460"
"Leaver CS","2023","Home Office","AA/AO","AA","Male","55","[c]","21680","22460"
"Leaver CS","2023","Home Office","AA/AO","AO","Female","365","[c]","23080","22400"
"Leaver CS","2023","Home Office","AA/AO","AO","Male","300","[c]","23020","22400"
"Leaver CS","2023","Home Office","EO","EO","Female","425","[c]","27600","26750"
"Leaver CS","2023","Home Office","EO","EO","Male","500","[c]","27450","26750"
"Leaver CS","2023","Home Office","G6/G7","G6","Female","30","[c]","70390","70840"
"Leaver CS","2023","Home Office","G6/G7","G6","Male","35","[c]","72080","70840"
"Leaver CS","2023","Home Office","G6/G7","G7","Female","90","[c]","58440","59290"
"Leaver CS","2023","Home Office","G6/G7","G7","Male","100","[c]","59250","59290"
"Leaver CS","2023","Home Office","SCS level","SCS level","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Home Office","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Home Office","SEO/HEO","HEO","Female","150","[c]","35230","36000"
"Leaver CS","2023","Home Office","SEO/HEO","HEO","Male","160","[c]","34890","35200"
"Leaver CS","2023","Home Office","SEO/HEO","SEO","Female","100","[c]","42880","43210"
"Leaver CS","2023","Home Office","SEO/HEO","SEO","Male","120","[c]","42380","42760"
"Leaver CS","2023","Home Office","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Home Office","Unknown","Unknown","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Defence","AA/AO","AA","Female","170","[c]","21180","20750"
"Leaver CS","2023","Ministry of Defence","AA/AO","AA","Male","400","[c]","21790","21380"
"Leaver CS","2023","Ministry of Defence","AA/AO","AO","Female","530","[c]","23210","22220"
"Leaver CS","2023","Ministry of Defence","AA/AO","AO","Male","680","[c]","27010","23430"
"Leaver CS","2023","Ministry of Defence","EO","EO","Female","270","[c]","28920","27470"
"Leaver CS","2023","Ministry of Defence","EO","EO","Male","480","[c]","29850","28100"
"Leaver CS","2023","Ministry of Defence","G6/G7","G6","Female","50","[c]","74130","70630"
"Leaver CS","2023","Ministry of Defence","G6/G7","G6","Male","80","[c]","75420","71870"
"Leaver CS","2023","Ministry of Defence","G6/G7","G7","Female","115","[c]","55230","54540"
"Leaver CS","2023","Ministry of Defence","G6/G7","G7","Male","225","[c]","56450","56180"
"Leaver CS","2023","Ministry of Defence","SCS level","SCS level","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Defence","SCS level","SCS level","Male","35","[c]","111540","103220"
"Leaver CS","2023","Ministry of Defence","SEO/HEO","HEO","Female","370","[c]","36090","34300"
"Leaver CS","2023","Ministry of Defence","SEO/HEO","HEO","Male","630","[c]","35510","34300"
"Leaver CS","2023","Ministry of Defence","SEO/HEO","SEO","Female","220","[c]","42950","41800"
"Leaver CS","2023","Ministry of Defence","SEO/HEO","SEO","Male","530","[c]","43580","42620"
"Leaver CS","2023","Ministry of Defence","Unknown","Unknown","Female","75","[c]","35070","33250"
"Leaver CS","2023","Ministry of Defence","Unknown","Unknown","Male","305","[c]","39480","36110"
"Leaver CS","2023","Ministry of Justice","AA/AO","AA","Female","730","[c]","20050","19930"
"Leaver CS","2023","Ministry of Justice","AA/AO","AA","Male","620","[c]","20380","19930"
"Leaver CS","2023","Ministry of Justice","AA/AO","AO","Female","2345","[c]","22350","21780"
"Leaver CS","2023","Ministry of Justice","AA/AO","AO","Male","2315","[c]","22500","21780"
"Leaver CS","2023","Ministry of Justice","EO","EO","Female","420","[c]","27450","26770"
"Leaver CS","2023","Ministry of Justice","EO","EO","Male","445","[c]","27690","27170"
"Leaver CS","2023","Ministry of Justice","G6/G7","G6","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice","G6/G7","G6","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice","G6/G7","G7","Female","95","[c]","57350","56120"
"Leaver CS","2023","Ministry of Justice","G6/G7","G7","Male","115","[c]","60290","59590"
"Leaver CS","2023","Ministry of Justice","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice","SEO/HEO","HEO","Female","275","[c]","33430","34260"
"Leaver CS","2023","Ministry of Justice","SEO/HEO","HEO","Male","210","[c]","33580","34260"
"Leaver CS","2023","Ministry of Justice","SEO/HEO","SEO","Female","210","[c]","43110","43650"
"Leaver CS","2023","Ministry of Justice","SEO/HEO","SEO","Male","205","[c]","43380","43100"
"Leaver CS","2023","Ministry of Justice","Unknown","Unknown","Female","1445","[c]","[c]","[c]"
"Leaver CS","2023","Ministry of Justice","Unknown","Unknown","Male","525","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","AA/AO","AO","Female","30","[c]","25980","24740"
"Leaver CS","2023","National Crime Agency","AA/AO","AO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","EO","EO","Female","70","[c]","35140","34670"
"Leaver CS","2023","National Crime Agency","EO","EO","Male","80","[c]","36390","36410"
"Leaver CS","2023","National Crime Agency","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","G6/G7","G6","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","G6/G7","G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","G6/G7","G7","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","SEO/HEO","HEO","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","SEO/HEO","HEO","Male","65","[c]","43370","43710"
"Leaver CS","2023","National Crime Agency","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","National Crime Agency","SEO/HEO","SEO","Male","35","[c]","50220","49960"
"Leaver CS","2023","Northern Ireland Office","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","EO","EO","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","Female","40","[c]","74080","77470"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","Male","30","[c]","76050","77470"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","Female","55","[c]","49070","52750"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","AA/AO","AO","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","AA/AO","AO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","EO","EO","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","EO","EO","Male","30","[c]","26980","26700"
"Leaver CS","2023","Office of Gas and Electricity Markets","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","G6/G7","G6","Male","30","[c]","71850","69440"
"Leaver CS","2023","Office of Gas and Electricity Markets","G6/G7","G7","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","G6/G7","G7","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","SEO/HEO","HEO","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","SEO/HEO","HEO","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Office of Gas and Electricity Markets","SEO/HEO","SEO","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","EO","EO","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
