"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Yorkshire and The Humber","South Yorkshire","EO","405","355","27680","28120"
"In post","2023","Declared disabled","Yorkshire and The Humber","South Yorkshire","G6/G7","160","150","56870","54260"
"In post","2023","Declared disabled","Yorkshire and The Humber","South Yorkshire","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","South Yorkshire","SEO/HEO","405","375","36750","37130"
"In post","2023","Declared disabled","Yorkshire and The Humber","South Yorkshire","Unknown","100","95","30840","29050"
"In post","2023","Declared disabled","Yorkshire and The Humber","West Yorkshire","AA/AO","565","490","23290","22380"
"In post","2023","Declared disabled","Yorkshire and The Humber","West Yorkshire","EO","665","595","28140","28120"
"In post","2023","Declared disabled","Yorkshire and The Humber","West Yorkshire","G6/G7","245","235","58060","56870"
"In post","2023","Declared disabled","Yorkshire and The Humber","West Yorkshire","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","West Yorkshire","SEO/HEO","590","560","36820","35000"
"In post","2023","Declared disabled","Yorkshire and The Humber","West Yorkshire","Unknown","215","200","30880","29050"
"In post","2023","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","2425","2205","24560","22520"
"In post","2023","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","EO","2280","2100","28250","28120"
"In post","2023","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","1045","1005","60300","57970"
"In post","2023","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","60","55","89590","84180"
"In post","2023","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","2685","2555","37900","35000"
"In post","2023","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","530","490","29840","29050"
"In post","2023","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","1655","1470","24340","21780"
"In post","2023","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","1160","1065","28510","28120"
"In post","2023","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","190","180","59920","56450"
"In post","2023","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","670","635","38340","37130"
"In post","2023","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","425","395","30320","29050"
"In post","2023","Declared non-disabled","East Midlands (England)","Lincolnshire","AA/AO","830","770","24820","22220"
"In post","2023","Declared non-disabled","East Midlands (England)","Lincolnshire","EO","470","435","28670","28120"
"In post","2023","Declared non-disabled","East Midlands (England)","Lincolnshire","G6/G7","100","90","60830","56630"
