"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","East of England","AO","Male","395","[c]","24350","22400"
"Leaver CS","2023","East of England","EO","Female","405","[c]","28650","28200"
"Leaver CS","2023","East of England","EO","Male","305","[c]","28430","28120"
"Leaver CS","2023","East of England","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","East of England","G6","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","East of England","G7","Female","45","[c]","56010","53550"
"Leaver CS","2023","East of England","G7","Male","40","[c]","57510","54540"
"Leaver CS","2023","East of England","HEO","Female","110","[c]","33970","33670"
"Leaver CS","2023","East of England","HEO","Male","110","[c]","34950","34300"
"Leaver CS","2023","East of England","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","East of England","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","East of England","SEO","Female","95","[c]","42140","41200"
"Leaver CS","2023","East of England","SEO","Male","100","[c]","43190","41670"
"Leaver CS","2023","East of England","Unknown","Female","155","[c]","[c]","[c]"
"Leaver CS","2023","East of England","Unknown","Male","55","[c]","[c]","[c]"
"Leaver CS","2023","London","AA","Female","140","[c]","22780","23470"
"Leaver CS","2023","London","AA","Male","125","[c]","22610","23000"
"Leaver CS","2023","London","AO","Female","850","[c]","24670","25480"
"Leaver CS","2023","London","AO","Male","640","[c]","24930","25480"
"Leaver CS","2023","London","EO","Female","1350","[c]","29910","30560"
"Leaver CS","2023","London","EO","Male","910","[c]","29970","30410"
"Leaver CS","2023","London","G6","Female","370","[c]","69300","67600"
"Leaver CS","2023","London","G6","Male","420","[c]","70660","68720"
"Leaver CS","2023","London","G7","Female","870","[c]","56460","55150"
"Leaver CS","2023","London","G7","Male","890","[c]","57130","55740"
"Leaver CS","2023","London","HEO","Female","980","[c]","34840","34300"
"Leaver CS","2023","London","HEO","Male","845","[c]","35460","35040"
"Leaver CS","2023","London","SCS level","Female","220","[c]","94250","85000"
"Leaver CS","2023","London","SCS level","Male","250","[c]","102310","92000"
"Leaver CS","2023","London","SEO","Female","735","[c]","42440","41870"
"Leaver CS","2023","London","SEO","Male","660","[c]","43410","43000"
"Leaver CS","2023","London","Unknown","Female","220","[c]","[c]","[c]"
"Leaver CS","2023","London","Unknown","Male","65","[c]","[c]","[c]"
"Leaver CS","2023","North East (England)","AA","Female","85","[c]","[c]","[c]"
"Leaver CS","2023","North East (England)","AA","Male","45","[c]","[c]","[c]"
"Leaver CS","2023","North East (England)","AO","Female","705","[c]","21670","21690"
"Leaver CS","2023","North East (England)","AO","Male","505","[c]","21930","21690"
"Leaver CS","2023","North East (England)","EO","Female","275","[c]","27200","27570"
"Leaver CS","2023","North East (England)","EO","Male","180","[c]","27310","27570"
"Leaver CS","2023","North East (England)","G6","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","North East (England)","G6","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","North East (England)","G7","Female","45","[c]","53300","52000"
"Leaver CS","2023","North East (England)","G7","Male","75","[c]","55490","54250"
"Leaver CS","2023","North East (England)","HEO","Female","90","[c]","32820","32620"
"Leaver CS","2023","North East (England)","HEO","Male","120","[c]","32540","33020"
"Leaver CS","2023","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","North East (England)","SEO","Female","70","[c]","40690","39210"
"Leaver CS","2023","North East (England)","SEO","Male","85","[c]","42110","40270"
"Leaver CS","2023","North East (England)","Unknown","Female","80","[c]","[c]","[c]"
"Leaver CS","2023","North East (England)","Unknown","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","North West (England)","AA","Female","125","[c]","20000","19930"
