"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","130","125","26680","22180"
"In post","2023","20-29","The National Archives","The National Archives","London","90","90","29520","26800"
"In post","2023","20-29","Transport Scotland","Scottish Government","Outside London","70","70","34150","33520"
"In post","2023","20-29","UK Debt Management Office","HM Treasury","London","15","15","43340","40000"
"In post","2023","20-29","UK Export Finance","UK Export Finance","London","125","125","40410","37150"
"In post","2023","20-29","UK Health Security Agency","Department of Health and Social Care","London","480","470","36310","33330"
"In post","2023","20-29","UK Health Security Agency","Department of Health and Social Care","Outside London","520","505","28690","28000"
"In post","2023","20-29","UK Hydrographic Office","Ministry of Defence","Outside London","160","160","29190","27610"
"In post","2023","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","45","45","42980","41360"
"In post","2023","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","15","15","37970","37610"
"In post","2023","20-29","UK Statistics Authority","UK Statistics Authority","London","130","130","38540","34560"
"In post","2023","20-29","UK Statistics Authority","UK Statistics Authority","Outside London","1155","1125","31940","31560"
"In post","2023","20-29","UK Supreme Court","UK Supreme Court","London","15","15","29890","26420"
"In post","2023","20-29","Valuation Office Agency","HM Revenue and Customs","London","125","125","35060","32130"
"In post","2023","20-29","Valuation Office Agency","HM Revenue and Customs","Outside London","570","560","28120","26020"
"In post","2023","20-29","Vehicle Certification Agency","Department for Transport","Outside London","35","35","29290","27240"
"In post","2023","20-29","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","10","10","33060","33830"
"In post","2023","20-29","Water Services Regulation Authority","Water Services Regulation Authority","London","20","20","35440","35330"
"In post","2023","20-29","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","25","25","35960","35330"
"In post","2023","20-29","Welsh Government (excl. agencies)","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Welsh Government (excl. agencies)","Welsh Government","Outside London","540","530","29650","26900"
"In post","2023","20-29","Welsh Government (excl. agencies)","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Welsh Revenue Authority","Welsh Government","Outside London","10","10","32210","30610"
"In post","2023","20-29","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","10","10","27080","25690"
"In post","2023","30-39","Accountant in Bankruptcy","Scottish Government","Outside London","30","25","31450","29450"
"In post","2023","30-39","Active Travel England","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Active Travel England","Department for Transport","Outside London","15","10","54950","51540"
"In post","2023","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","35","30","41020","39360"
"In post","2023","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","190","180","31090","32110"
"In post","2023","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","20","20","35680","32720"
"In post","2023","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","630","600","29990","29080"
"In post","2023","30-39","Attorney General's Office","Attorney General's Departments","London","20","20","50990","52020"
"In post","2023","30-39","Building Digital UK","Department for Digital, Culture, Media and Sport","London","45","45","48240","53010"
"In post","2023","30-39","Building Digital UK","Department for Digital, Culture, Media and Sport","Outside London","30","30","44490","48010"
"In post","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","London","1215","1190","54450","56430"
"In post","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","570","555","38910","35650"
"In post","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","40","40","42390","38050"
"In post","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","London","75","75","31430","30130"
"In post","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","Outside London","80","80","31210","30130"
"In post","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","165","160","33990","30820"
"In post","2023","30-39","Charity Commission","Charity Commission","London","25","25","45260","46810"
"In post","2023","30-39","Charity Commission","Charity Commission","Outside London","90","90","32220","30170"
"In post","2023","30-39","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","265","255","32600","28070"
"In post","2023","30-39","Competition and Markets Authority","Competition and Markets Authority","London","265","260","61250","59120"
"In post","2023","30-39","Competition and Markets Authority","Competition and Markets Authority","Outside London","45","45","63080","60600"
"In post","2023","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","80","75","27920","25830"
"In post","2023","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Crown Commercial Service","Cabinet Office","London","20","20","50010","44670"
"In post","2023","30-39","Crown Commercial Service","Cabinet Office","Outside London","220","210","38610","39860"
"In post","2023","30-39","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","655","630","41980","37940"
"In post","2023","30-39","Crown Prosecution Service","Attorney General's Departments","London","330","320","44650","44750"
"In post","2023","30-39","Crown Prosecution Service","Attorney General's Departments","Outside London","1000","940","39890","38940"
"In post","2023","30-39","Defence Electronics and Components Agency","Ministry of Defence","Outside London","25","25","31100","28710"
"In post","2023","30-39","Defence Equipment and Support","Ministry of Defence","London","15","15","28130","25250"
"In post","2023","30-39","Defence Equipment and Support","Ministry of Defence","Outside London","2280","2185","38450","38790"
"In post","2023","30-39","Defence Equipment and Support","Ministry of Defence","Overseas","15","15","54750","58020"
"In post","2023","30-39","Defence Science and Technology Laboratory","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","1150","1115","41870","39890"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","1515","1480","54540","55120"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","395","390","44600","40980"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","575","565","53490","53030"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Outside London","85","85","44410","44700"
"In post","2023","30-39","Department for Education (excl. agencies)","Department for Education","London","610","585","53510","55020"
"In post","2023","30-39","Department for Education (excl. agencies)","Department for Education","Outside London","1400","1355","42370","37880"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","665","645","49260","54330"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","965","920","41270","37300"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Department for International Trade","Department for International Trade","London","775","765","52700","55370"
"In post","2023","30-39","Department for International Trade","Department for International Trade","Outside London","150","145","44090","39760"
"In post","2023","30-39","Department for International Trade","Department for International Trade","Overseas","75","75","53800","53970"
"In post","2023","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","645","630","53660","54630"
