"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","Human Resources","UK Statistics Authority","UK Statistics Authority","Human Resources","45","[c]","32520","31060"
"New entrant CS","2023","Human Resources","UK Supreme Court","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Human Resources","Valuation Office Agency","HM Revenue and Customs","Human Resources","10","[c]","[c]","[c]"
"New entrant CS","2023","Human Resources","Vehicle Certification Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Human Resources","Water Services Regulation Authority","Water Services Regulation Authority","Human Resources","5","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","Government Internal Audit Agency","HM Treasury","Internal Audit","35","[c]","48340","43160"
"New entrant CS","2023","Internal Audit","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Internal Audit","5","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","Met Office","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","Ministry of Defence (excl. agencies)","Ministry of Defence","Internal Audit","10","[c]","30320","33310"
"New entrant CS","2023","Internal Audit","UK Export Finance","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","UK Statistics Authority","UK Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Attorney General's Office","Attorney General's Departments","Legal","5","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Attorney General's Office","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Attorney General's Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Attorney General's Office","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Charity Commission","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Companies House","Department for Business, Energy and Industrial Strategy","Legal","5","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Competition and Markets Authority","Competition and Markets Authority","Legal","15","[c]","61420","58830"
"New entrant CS","2023","Legal","Competition and Markets Authority","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","30","[c]","52480","52360"
"New entrant CS","2023","Legal","Crown Prosecution Service","Attorney General's Departments","Finance","15","[c]","20520","19560"
"New entrant CS","2023","Legal","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Crown Prosecution Service","Attorney General's Departments","Legal","270","[c]","42290","40800"
"New entrant CS","2023","Legal","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","530","[c]","22720","21890"
"New entrant CS","2023","Legal","Crown Prosecution Service","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Crown Prosecution Service","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Crown Prosecution Service","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Department for Education (excl. agencies)","Department for Education","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Food Standards Agency","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Government Legal Department","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Government Legal Department","Attorney General's Departments","Legal","200","[c]","45410","50460"
"New entrant CS","2023","Legal","Government Legal Department","Attorney General's Departments","Operational Delivery","85","[c]","28290","27760"
"New entrant CS","2023","Legal","Government Legal Department","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Government Legal Department","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","HM Courts and Tribunals Service","Ministry of Justice","Legal","65","[c]","31090","25830"
"New entrant CS","2023","Legal","HM Land Registry","HM Land Registry","Legal","20","[c]","49590","56190"
"New entrant CS","2023","Legal","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Legal","75","[c]","47350","52600"
"New entrant CS","2023","Legal","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","35","[c]","24030","22520"
"New entrant CS","2023","Legal","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Health and Safety Executive","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Institute for Apprenticeships and Technical Education","Department for Education","Legal","5","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Legal Aid Agency","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Legal","10","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Met Office","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Ministry of Defence (excl. agencies)","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Ministry of Justice (excl. agencies)","Ministry of Justice","Legal","5","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","15","[c]","30030","29660"
"New entrant CS","2023","Legal","National Crime Agency","National Crime Agency","Legal","10","[c]","45140","34340"
"New entrant CS","2023","Legal","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Legal","25","[c]","52390","55000"
"New entrant CS","2023","Legal","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Office of Rail and Road","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Office of the Public Guardian","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Office of the Public Guardian","Ministry of Justice","Operational Delivery","10","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Registers of Scotland","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Scottish Courts and Tribunals Service","Scottish Government","Legal","5","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Scottish Prison Service","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Serious Fraud Office","Attorney General's Departments","Legal","10","[c]","54810","54230"
"New entrant CS","2023","Legal","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","UK Debt Management Office","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","UK Export Finance","UK Export Finance","Legal","10","[c]","54820","46730"
"New entrant CS","2023","Legal","UK Health Security Agency","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","UK Supreme Court","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","UK Supreme Court","UK Supreme Court","Legal","10","[c]","37230","37230"
"New entrant CS","2023","Legal","UK Supreme Court","UK Supreme Court","Operational Delivery","5","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Water Services Regulation Authority","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Welsh Revenue Authority","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Active Travel England","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Active Travel England","Department for Transport","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Active Travel England","Department for Transport","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Active Travel England","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Active Travel England","Department for Transport","Science and Engineering","15","[c]","47220","40000"
"New entrant CS","2023","No function","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","35","[c]","27230","25160"
"New entrant CS","2023","No function","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","400","[c]","25750","24920"
"New entrant CS","2023","No function","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","70","[c]","28630","25340"
"New entrant CS","2023","No function","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","35","[c]","34970","37300"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Policy","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","105","[c]","36400","28050"
"New entrant CS","2023","No function","Charity Commission","Charity Commission","Operational Delivery","45","[c]","27360","25300"
"New entrant CS","2023","No function","Charity Commission","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","100","[c]","23120","21380"
"New entrant CS","2023","No function","Companies House","Department for Business, Energy and Industrial Strategy","Other","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Companies House","Department for Business, Energy and Industrial Strategy","Policy","10","[c]","46250","42200"
"New entrant CS","2023","No function","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","40","[c]","23970","21780"
"New entrant CS","2023","No function","Crown Commercial Service","Cabinet Office","Operational Delivery","10","[c]","23410","20740"
"New entrant CS","2023","No function","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","155","[c]","25430","22180"
"New entrant CS","2023","No function","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Defence Equipment and Support","Ministry of Defence","Operational Delivery","250","[c]","31250","32500"
"New entrant CS","2023","No function","Defence Equipment and Support","Ministry of Defence","Other","155","[c]","31180","24750"
"New entrant CS","2023","No function","Defence Equipment and Support","Ministry of Defence","Science and Engineering","380","[c]","35620","33250"
"New entrant CS","2023","No function","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","30","[c]","36540","34410"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","295","[c]","37030","31350"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","15","[c]","41330","31350"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Science and Engineering","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Other","10","[c]","26720","27230"
"New entrant CS","2023","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Policy","85","[c]","34830","35040"
"New entrant CS","2023","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Project Delivery","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Education (excl. agencies)","Department for Education","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Education (excl. agencies)","Department for Education","Operational Delivery","50","[c]","32870","30330"
"New entrant CS","2023","No function","Department for Education (excl. agencies)","Department for Education","Policy","100","[c]","32230","30330"
"New entrant CS","2023","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Economics","15","[c]","44030","40260"
"New entrant CS","2023","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Operational Delivery","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Other","15","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Policy","505","[c]","40150","37300"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","International Trade","495","[c]","41090","40460"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","Knowledge and Information Management","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","Operational Delivery","15","[c]","31370","29280"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","Other","10","[c]","43480","35010"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","Policy","20","[c]","36190","35010"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for International Trade","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Operational Delivery","20","[c]","34330","31290"
"New entrant CS","2023","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Policy","115","[c]","38230","33880"
"New entrant CS","2023","No function","Department for Transport (excl. agencies)","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Transport (excl. agencies)","Department for Transport","Finance","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Transport (excl. agencies)","Department for Transport","Operational Delivery","10","[c]","34150","29690"
"New entrant CS","2023","No function","Department for Transport (excl. agencies)","Department for Transport","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Transport (excl. agencies)","Department for Transport","Policy","50","[c]","38970","35400"
"New entrant CS","2023","No function","Department for Transport (excl. agencies)","Department for Transport","Science and Engineering","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Transport (excl. agencies)","Department for Transport","Unknown","125","[c]","36750","34390"
"New entrant CS","2023","No function","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Knowledge and Information Management","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Operational Delivery","1620","[c]","24660","21690"
"New entrant CS","2023","No function","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Medicine","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Operational Delivery","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Policy","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","185","[c]","37090","34190"
"New entrant CS","2023","No function","Driver and Vehicle Licensing Agency","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Driver and Vehicle Licensing Agency","Department for Transport","Operational Delivery","570","[c]","21720","22500"
"New entrant CS","2023","No function","Driver and Vehicle Licensing Agency","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Driver and Vehicle Standards Agency","Department for Transport","Operational Delivery","550","[c]","26590","26780"
"New entrant CS","2023","No function","Driver and Vehicle Standards Agency","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Driver and Vehicle Standards Agency","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Education and Skills Funding Agency","Department for Education","Operational Delivery","15","[c]","36620","30330"
"New entrant CS","2023","No function","Food Standards Agency","Food Standards Agency","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Food Standards Agency","Food Standards Agency","Operational Delivery","65","[c]","30310","26910"
"New entrant CS","2023","No function","Food Standards Agency","Food Standards Agency","Policy","35","[c]","33190","31260"
"New entrant CS","2023","No function","Food Standards Agency","Food Standards Agency","Science and Engineering","20","[c]","32600","31260"
"New entrant CS","2023","No function","Food Standards Agency","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Government Actuary's Department","Chancellor's other departments","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Government Internal Audit Agency","HM Treasury","Operational Delivery","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Government Internal Audit Agency","HM Treasury","Other","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","1585","[c]","22900","21780"
"New entrant CS","2023","No function","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","HM Land Registry","HM Land Registry","Operational Delivery","240","[c]","24770","23390"
"New entrant CS","2023","No function","HM Land Registry","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","HM Prison and Probation Service","Ministry of Justice","Commercial","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","HM Prison and Probation Service","Ministry of Justice","Intelligence Analysis","10","[c]","29450","28480"
"New entrant CS","2023","No function","HM Prison and Probation Service","Ministry of Justice","Operational Delivery","11385","[c]","26250","24070"
"New entrant CS","2023","No function","HM Prison and Probation Service","Ministry of Justice","Policy","25","[c]","33440","33200"
"New entrant CS","2023","No function","HM Prison and Probation Service","Ministry of Justice","Psychology","150","[c]","29950","28480"
"New entrant CS","2023","No function","HM Prison and Probation Service","Ministry of Justice","Unknown","25","[c]","[c]","[c]"
"New entrant CS","2023","No function","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","1445","[c]","23160","22520"
"New entrant CS","2023","No function","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Research","85","[c]","22520","22520"
"New entrant CS","2023","No function","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","225","[c]","35310","34400"
"New entrant CS","2023","No function","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","340","[c]","24340","22520"
"New entrant CS","2023","No function","HM Treasury (excl. agencies)","HM Treasury","Operational Delivery","25","[c]","26150","27820"
"New entrant CS","2023","No function","HM Treasury (excl. agencies)","HM Treasury","Policy","160","[c]","31980","28500"
"New entrant CS","2023","No function","Health and Safety Executive","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","185","[c]","33530","31690"
"New entrant CS","2023","No function","Health and Safety Executive","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Health and Safety Executive","Department for Work and Pensions","Science and Engineering","70","[c]","30350","27320"
"New entrant CS","2023","No function","Home Office","Home Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Counter Fraud","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Digital, Data and Technology","30","[c]","53180","43720"
"New entrant CS","2023","No function","Home Office","Home Office","Economics","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Finance","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Human Resources","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Intelligence Analysis","65","[c]","27950","25750"
"New entrant CS","2023","No function","Home Office","Home Office","Knowledge and Information Management","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Operational Delivery","6875","[c]","25140","25750"
"New entrant CS","2023","No function","Home Office","Home Office","Operational Research","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Other","160","[c]","27040","26580"
"New entrant CS","2023","No function","Home Office","Home Office","Policy","95","[c]","41420","36000"
"New entrant CS","2023","No function","Home Office","Home Office","Project Delivery","75","[c]","39340","36000"
"New entrant CS","2023","No function","Home Office","Home Office","Science and Engineering","15","[c]","42720","33090"
"New entrant CS","2023","No function","Home Office","Home Office","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Social Research","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Home Office","Home Office","Statistics","20","[c]","25270","23500"
"New entrant CS","2023","No function","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Other","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Policy","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","Legal Aid Agency","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Legal Aid Agency","Ministry of Justice","Operational Delivery","80","[c]","21950","21780"
"New entrant CS","2023","No function","Legal Aid Agency","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Maritime and Coastguard Agency","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","135","[c]","27390","22500"
"New entrant CS","2023","No function","Maritime and Coastguard Agency","Department for Transport","Policy","20","[c]","39710","39430"
"New entrant CS","2023","No function","Ministry of Defence (excl. agencies)","Ministry of Defence","Intelligence Analysis","55","[c]","31980","29520"
"New entrant CS","2023","No function","Ministry of Defence (excl. agencies)","Ministry of Defence","Medicine","245","[c]","44060","36410"
"New entrant CS","2023","No function","Ministry of Defence (excl. agencies)","Ministry of Defence","Operational Delivery","730","[c]","25100","22220"
"New entrant CS","2023","No function","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","210","[c]","22740","21580"
"New entrant CS","2023","No function","Ministry of Defence (excl. agencies)","Ministry of Defence","Policy","90","[c]","40770","37660"
"New entrant CS","2023","No function","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","135","[c]","33560","30080"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
