"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared non-disabled","Policy","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Science and Engineering","AA","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Science and Engineering","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","AA","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","AO","25","25","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
