"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Department for International Trade","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","West Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for International Trade","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","East of England","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","London","Female","125","120","46750","40800"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","London","Male","85","85","47480","40800"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","West Midlands (England)","Female","30","30","37510","33520"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","West Midlands (England)","Male","30","30","37770","37060"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","East Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport","East Midlands (England)","Male","25","25","[c]","[c]"
"In post","2023","Asian","Department for Transport","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","East of England","Male","20","20","[c]","[c]"
"In post","2023","Asian","Department for Transport","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","London","Female","165","160","47070","43750"
"In post","2023","Asian","Department for Transport","London","Male","185","180","45640","43320"
"In post","2023","Asian","Department for Transport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","North West (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Transport","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Scotland","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Transport","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","South East (England)","Female","15","10","[c]","[c]"
"In post","2023","Asian","Department for Transport","South East (England)","Male","25","25","[c]","[c]"
"In post","2023","Asian","Department for Transport","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Transport","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Wales","Female","35","30","31220","22500"
"In post","2023","Asian","Department for Transport","Wales","Male","45","40","30400","22500"
"In post","2023","Asian","Department for Transport","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","West Midlands (England)","Female","45","40","28060","22500"
"In post","2023","Asian","Department for Transport","West Midlands (England)","Male","75","75","29370","26960"
"In post","2023","Asian","Department for Transport","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport","Yorkshire and The Humber","Male","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","East Midlands (England)","Female","355","295","25860","28120"
"In post","2023","Asian","Department for Work and Pensions","East Midlands (England)","Male","245","230","26450","28120"
"In post","2023","Asian","Department for Work and Pensions","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","East of England","Female","285","235","28700","28120"
"In post","2023","Asian","Department for Work and Pensions","East of England","Male","100","100","29810","28120"
"In post","2023","Asian","Department for Work and Pensions","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","London","Female","1545","1330","32990","32520"
"In post","2023","Asian","Department for Work and Pensions","London","Male","805","785","33690","32520"
"In post","2023","Asian","Department for Work and Pensions","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","North East (England)","Female","120","105","28250","28120"
"In post","2023","Asian","Department for Work and Pensions","North East (England)","Male","115","115","33000","28120"
"In post","2023","Asian","Department for Work and Pensions","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","North West (England)","Female","500","415","26440","28120"
"In post","2023","Asian","Department for Work and Pensions","North West (England)","Male","680","655","28150","28120"
"In post","2023","Asian","Department for Work and Pensions","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","Scotland","Female","65","55","25370","21690"
