"Status","Year","Age","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","65+","Undeclared","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Black","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","White","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Black","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","White","No function","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Black","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","White","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Black","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Unknown","No function","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","White","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
